model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_tokens_cached,llm_tokens_reasoning,llm_calls,leak_hit,leak_source,accessed_paths,error
claude-sonnet-4-5@claude-cli,web-001,claude_default,ok,ok,9,5,0,1,False,LFI,1,0,0,27.99,235,0,58,177,244430,0,9,,,"['./index.php', './poems/index.php']",
claude-sonnet-4-5@claude-cli,web-002,claude_default,ok,ok,6,3,0,1,False,LFI,1,0,0,26.05,163,0,43,120,147037,0,6,,,"['C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-002-14540-7193765000000\\server.js', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-002-14540-7193765000000\\back.py']",
claude-sonnet-4-5@claude-cli,web-003,claude_default,ok,ok,10,5,0,1,False,Auth Bypass,0,0,0,33.55,87,0,77,10,242336,0,10,,,"['./nginx.conf', './app.js']",
claude-sonnet-4-5@claude-cli,web-004,claude_default,ok,ok,9,6,0,1,False,SQLi,1,0,0,29.51,396,0,235,161,196869,0,9,,,"['**/*', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-004-14540-7257390000000\\app.py', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-004-14540-7257390000000\\login.py', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-004-14540-7257390000000\\init.py', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-004-14540-7257390000000\\columns_dump.txt']",
claude-sonnet-4-5@claude-cli,web-005,claude_default,ok,ok,8,4,0,1,False,SQLi,1,0,0,33.23,73,0,58,15,176362,0,8,,,"['C:\\Users\\NoSpaceAvailable\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-005-14540-7288906000000\\db.php', 'C:\\Users\\NoSpaceAvailable\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-005-14540-7288906000000\\login.php', 'C:\\Users\\NoSpaceAvailable\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-005-14540-7288906000000\\api\\db_explore.php']",
claude-sonnet-4-5@claude-cli,web-006,claude_default,ok,ok,8,5,0,1,False,Mass Assignment,1,0,0,38.84,240,0,53,187,213836,0,8,,,"['./application/blueprints/routes.py', './application/database.py']",
claude-sonnet-4-5@claude-cli,web-007,claude_default,ok,ok,7,4,0,1,False,LFI,1,0,0,68.88,185,0,48,137,179575,0,7,,,"['C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-007-14540-7364984000000\\server.js', 'C:\\Users\\NOSPAC~1\\AppData\\Local\\Temp\\claude-bench-cqn1uf4i\\web-007-14540-7364984000000\\back.py']",
claude-sonnet-4-5@claude-cli,web-008,claude_default,ok,ok,9,6,0,1,False,SQLi,1,0,0,43.59,262,0,64,198,231708,0,9,,,"['./app.js', './database.js', './routes/index.js']",
claude-sonnet-4-5@claude-cli,web-009,claude_default,ok,ok,11,7,0,1,False,NoSQLi,0,0,0,35.58,365,0,68,297,311957,0,11,,,"['./imports/api/notes/methods.js', './imports/api/notes/notes.js', './imports/startup/server/fixtures.js']",
claude-sonnet-4-5@claude-cli,web-010,claude_default,ok,ok,7,4,0,1,False,Auth Bypass,0,0,0,31.46,164,0,53,111,167745,0,7,,,['./index.js'],
