model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_calls,output_dir
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-001,baseline,no_validated_findings,finished,11,9,0,1,False,LFI,1,0,0,36.9,3300,0.007,84783,496,11,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-001_dispatcher_mixed_default_20260627T105717Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-001,C1_only,no_validated_findings,finished,11,9,0,1,False,LFI,1,0,0,34.27,3300,0.007,0,0,0,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-001_dispatcher_mixed_default_20260627T105755Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-001,C2_only,no_validated_findings,finished,11,9,0,1,False,LFI,1,0,0,30.1,3300,0.007,84218,391,11,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-001_dispatcher_mixed_default_20260627T105831Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-001,C3_only,no_validated_findings,finished,18,16,0,3,False,LFI,1,0,0,55.67,5700,0.012,195881,804,18,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-001_dispatcher_mixed_default_20260627T105903Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-001,all,no_validated_findings,finished,12,11,0,1,False,LFI,1,0,0,45.27,3300,0.007,0,0,0,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-001_dispatcher_mixed_default_20260627T110000Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-002,baseline,no_validated_findings,finished,12,9,0,1,False,LFI,0,0,0,36.04,3300,0.007,93560,596,12,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-002_dispatcher_mixed_default_20260627T110047Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-002,C1_only,no_validated_findings,finished,20,16,0,3,False,LFI,0,0,0,79.38,5200,0.011,0,0,0,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-002_dispatcher_mixed_default_20260627T110124Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-002,C2_only,no_validated_findings,finished,11,9,0,1,False,LFI,0,0,0,32.08,3300,0.007,85325,528,11,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-002_dispatcher_mixed_default_20260627T110245Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-002,C3_only,no_validated_findings,finished,18,16,0,1,False,LFI,0,0,0,99.03,1400,0.003,265838,909,18,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-002_dispatcher_mixed_default_20260627T110319Z
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,web-002,all,no_validated_findings,finished,19,13,0,1,False,LFI,1,0,0,68.04,2800,0.006,0,0,0,/root/DACN/outputs/runs_custom_Qwen_Qwen3-235B-A22B-Instruct-2507-tput/web-002_dispatcher_mixed_default_20260627T110459Z
