model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_calls,output_dir
mistralai/mistral-medium-3.5-128b,web-001,baseline,no_validated_findings,finished,23,22,0,3,False,LFI,1,0,0,280.32,9000,0.019000000000000003,204768,2395,23,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-001_dispatcher_mixed_default_20260629T072856Z
mistralai/mistral-medium-3.5-128b,web-001,C2_only,no_validated_findings,max_steps,40,40,0,4,False,LFI,1,2,0,400.1,15300,0.032000000000000015,396034,3009,40,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-001_dispatcher_mixed_default_20260629T073401Z
mistralai/mistral-medium-3.5-128b,web-001,C3_only,no_validated_findings,max_steps,40,40,0,1,False,LFI,1,0,0,570.84,13800,0.029000000000000012,511691,2715,40,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-001_dispatcher_mixed_default_20260629T074043Z
mistralai/mistral-medium-3.5-128b,web-001,C1_only,no_validated_findings,finished,16,15,0,2,False,LFI,1,0,0,310.58,6200,0.013000000000000001,0,0,0,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-001_dispatcher_mixed_default_20260629T075015Z
mistralai/mistral-medium-3.5-128b,web-001,all,no_validated_findings,finished,26,25,0,2,False,LFI,1,2,0,312.07,10500,0.022000000000000006,0,0,0,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-001_dispatcher_mixed_default_20260629T075527Z
mistralai/mistral-medium-3.5-128b,web-002,baseline,no_validated_findings,finished,21,20,0,3,False,LFI,1,0,0,269.73,7600,0.016000000000000004,203262,3679,21,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-002_dispatcher_mixed_default_20260629T080041Z
mistralai/mistral-medium-3.5-128b,web-002,C2_only,no_validated_findings,finished,20,19,0,3,False,LFI,1,2,0,245.85,6600,0.014000000000000002,192211,3325,20,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-002_dispatcher_mixed_default_20260629T080512Z
mistralai/mistral-medium-3.5-128b,web-002,C3_only,no_validated_findings,finished,19,18,0,2,False,LFI,1,0,0,299.11,8500,0.018000000000000002,245606,4205,19,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-002_dispatcher_mixed_default_20260629T080920Z
mistralai/mistral-medium-3.5-128b,web-002,C1_only,no_validated_findings,finished,15,14,0,2,False,LFI,1,0,0,162.94,6200,0.013000000000000001,0,0,0,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-002_dispatcher_mixed_default_20260629T081420Z
mistralai/mistral-medium-3.5-128b,web-002,all,no_validated_findings,max_steps,40,39,0,1,False,LFI,1,1,1,597.35,12300,0.02600000000000001,0,0,0,/root/DACN/outputs/runs_custom_mistralai_mistral-medium-3.5-128b/web-002_dispatcher_mixed_default_20260629T081705Z
