model,fixture,config,status,stop_reason,steps,tool_calls,validated_findings,llm_findings,solved,expected_vuln,detected,loop_detected,watchdog_trips,wall_s,budget_tokens,budget_cost,llm_tokens_in,llm_tokens_out,llm_calls,output_dir
mistral-small-latest,web-001,baseline,no_validated_findings,finished,18,17,0,2,False,LFI,1,0,0,108.84,4800,0.010000000000000002,153250,2169,18,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-001_dispatcher_mixed_default_20260627T093537Z
mistral-small-latest,web-001,C1_only,no_validated_findings,finished,17,16,0,2,False,LFI,1,0,0,111.59,5200,0.011000000000000003,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-001_dispatcher_mixed_default_20260627T093728Z
mistral-small-latest,web-001,C2_only,no_validated_findings,finished,8,7,0,1,False,LFI,1,0,0,24.48,3300,0.007,62113,965,8,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-001_dispatcher_mixed_default_20260627T093921Z
mistral-small-latest,web-001,C3_only,no_validated_findings,finished,11,10,0,1,False,LFI,1,0,0,40.47,4200,0.009000000000000001,117488,872,11,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-001_dispatcher_mixed_default_20260627T093947Z
mistral-small-latest,web-001,all,no_validated_findings,finished,15,14,0,1,False,LFI,1,0,0,62.07,3300,0.007,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-001_dispatcher_mixed_default_20260627T094029Z
mistral-small-latest,web-002,baseline,no_validated_findings,finished,13,12,0,1,False,LFI,1,0,0,51.59,4200,0.009000000000000001,112492,2406,13,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-002_dispatcher_mixed_default_20260627T094132Z
mistral-small-latest,web-002,C1_only,no_validated_findings,finished,10,8,0,1,False,LFI,1,0,1,33.8,1900,0.004,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-002_dispatcher_mixed_default_20260627T094226Z
mistral-small-latest,web-002,C2_only,no_validated_findings,finished,13,12,0,2,False,LFI,0,0,0,45.43,3800,0.008,115586,2544,13,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-002_dispatcher_mixed_default_20260627T094301Z
mistral-small-latest,web-002,C3_only,no_validated_findings,finished,17,16,0,2,False,LFI,1,0,0,78.89,4700,0.010000000000000002,205259,3300,17,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-002_dispatcher_mixed_default_20260627T094348Z
mistral-small-latest,web-002,all,no_validated_findings,finished,30,28,0,1,False,LFI,1,1,1,251.48,7100,0.015000000000000003,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-002_dispatcher_mixed_default_20260627T094711Z
mistral-small-latest,web-003,baseline,no_validated_findings,finished,14,13,0,2,False,Auth Bypass,1,0,0,64.9,3800,0.008,131254,2947,14,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-003_dispatcher_mixed_default_20260627T095124Z
mistral-small-latest,web-003,C1_only,no_validated_findings,finished,17,15,0,1,False,Auth Bypass,1,0,1,59.3,7900,0.018000000000000002,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-003_dispatcher_mixed_default_20260627T095230Z
mistral-small-latest,web-003,C2_only,no_validated_findings,finished,13,12,0,1,False,Auth Bypass,0,0,0,51.89,9500,0.023,120343,3229,13,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-003_dispatcher_mixed_default_20260627T095331Z
mistral-small-latest,web-003,C3_only,no_validated_findings,finished,17,16,0,2,False,Auth Bypass,1,0,0,113.51,11800,0.028000000000000004,189220,1423,17,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-003_dispatcher_mixed_default_20260627T095424Z
mistral-small-latest,web-003,all,no_validated_findings,finished,16,14,0,1,False,Auth Bypass,0,0,1,104.74,6900,0.016,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-003_dispatcher_mixed_default_20260627T095619Z
mistral-small-latest,web-004,baseline,no_validated_findings,finished,13,12,0,1,False,SQLi,1,0,0,59.92,10000,0.024,112405,1925,13,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-004_dispatcher_mixed_default_20260627T095805Z
mistral-small-latest,web-004,C1_only,no_validated_findings,finished,15,13,0,2,False,SQLi,1,0,1,46.41,12600,0.031,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-004_dispatcher_mixed_default_20260627T095907Z
mistral-small-latest,web-004,C2_only,no_validated_findings,finished,17,16,0,1,False,SQLi,1,0,0,78.45,15700,0.039,157914,2470,17,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-004_dispatcher_mixed_default_20260627T095955Z
mistral-small-latest,web-004,C3_only,no_validated_findings,finished,15,14,0,1,False,SQLi,1,0,0,110.83,10500,0.025,175645,1850,15,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-004_dispatcher_mixed_default_20260627T100115Z
mistral-small-latest,web-004,all,no_validated_findings,finished,12,10,0,1,False,SQLi,1,0,1,89.65,10000,0.024,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-004_dispatcher_mixed_default_20260627T100307Z
mistral-small-latest,web-005,baseline,no_validated_findings,finished,13,14,0,1,False,SQLi,1,0,0,46.21,10000,0.024,110418,1852,13,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-005_dispatcher_mixed_default_20260627T100438Z
mistral-small-latest,web-005,C1_only,no_validated_findings,finished,19,17,0,2,False,SQLi,1,0,1,71.8,13100,0.032,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-005_dispatcher_mixed_default_20260627T100526Z
mistral-small-latest,web-005,C2_only,no_validated_findings,finished,24,23,0,0,False,SQLi,0,1,0,171.25,18800,0.047,229078,2673,24,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-005_dispatcher_mixed_default_20260627T100639Z
mistral-small-latest,web-005,C3_only,no_validated_findings,finished,22,21,0,2,False,SQLi,1,0,0,152.48,17200,0.042,284314,3166,22,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-005_dispatcher_mixed_default_20260627T100932Z
mistral-small-latest,web-005,all,no_validated_findings,finished,15,13,0,1,False,SQLi,1,0,1,71.03,9500,0.023,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-005_dispatcher_mixed_default_20260627T101206Z
mistral-small-latest,web-006,baseline,no_validated_findings,finished,24,23,0,3,False,Mass Assignment,1,0,0,110.68,7800,0.018000000000000002,234459,2983,24,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-006_dispatcher_mixed_default_20260627T101319Z
mistral-small-latest,web-006,C1_only,no_validated_findings,finished,20,18,0,1,False,Mass Assignment,1,0,1,128.94,6400,0.015,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-006_dispatcher_mixed_default_20260627T101511Z
mistral-small-latest,web-006,C2_only,no_validated_findings,finished,17,17,0,2,False,Mass Assignment,1,1,0,57.69,6400,0.015,155521,1925,17,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-006_dispatcher_mixed_default_20260627T101721Z
mistral-small-latest,web-006,C3_only,no_validated_findings,finished,34,33,0,4,False,Mass Assignment,1,0,0,296.73,7900,0.018000000000000002,466755,4951,34,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-006_dispatcher_mixed_default_20260627T101820Z
mistral-small-latest,web-006,all,no_validated_findings,finished,14,12,0,1,False,Mass Assignment,1,0,1,155.86,6400,0.015,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-006_dispatcher_mixed_default_20260627T102319Z
mistral-small-latest,web-007,baseline,no_validated_findings,finished,10,9,0,1,False,LFI,1,0,0,39.24,2400,0.005,86616,2443,10,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-007_dispatcher_mixed_default_20260627T102556Z
mistral-small-latest,web-007,C1_only,no_validated_findings,finished,18,16,0,2,False,LFI,1,0,1,127.45,3800,0.008,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-007_dispatcher_mixed_default_20260627T102637Z
mistral-small-latest,web-007,C2_only,no_validated_findings,finished,11,10,0,1,False,LFI,0,0,0,53.0,3800,0.008,92571,2002,11,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-007_dispatcher_mixed_default_20260627T102846Z
mistral-small-latest,web-007,C3_only,no_validated_findings,finished,25,24,0,2,False,LFI,1,0,0,179.74,10500,0.022000000000000006,315601,3411,25,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-007_dispatcher_mixed_default_20260627T102940Z
mistral-small-latest,web-007,all,no_validated_findings,finished,15,13,0,1,False,LFI,0,0,1,47.57,4200,0.009000000000000001,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-007_dispatcher_mixed_default_20260627T103241Z
mistral-small-latest,web-008,baseline,no_validated_findings,finished,20,19,0,1,False,SQLi,1,0,0,81.28,13500,0.033,185330,2640,20,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-008_dispatcher_mixed_default_20260627T103331Z
mistral-small-latest,web-008,C1_only,no_validated_findings,finished,17,15,0,1,False,SQLi,1,0,1,57.77,14500,0.035,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-008_dispatcher_mixed_default_20260627T103453Z
mistral-small-latest,web-008,C2_only,no_validated_findings,finished,20,19,0,2,False,SQLi,1,1,0,72.63,11000,0.026000000000000002,184287,2579,20,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-008_dispatcher_mixed_default_20260627T103553Z
mistral-small-latest,web-008,C3_only,no_validated_findings,finished,20,19,0,2,False,SQLi,1,0,0,82.61,16600,0.041,246092,3135,20,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-008_dispatcher_mixed_default_20260627T103707Z
mistral-small-latest,web-008,all,no_validated_findings,finished,28,26,0,2,False,SQLi,1,0,1,173.31,16700,0.041,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-008_dispatcher_mixed_default_20260627T103831Z
mistral-small-latest,web-009,baseline,no_validated_findings,finished,19,18,0,2,False,NoSQLi,1,0,0,60.45,3800,0.008,165160,2143,19,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-009_dispatcher_mixed_default_20260627T104126Z
mistral-small-latest,web-009,C1_only,no_validated_findings,max_steps,40,39,0,1,False,NoSQLi,1,0,1,135.56,6900,0.015000000000000001,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-009_dispatcher_mixed_default_20260627T104228Z
mistral-small-latest,web-009,C2_only,no_validated_findings,finished,11,10,0,1,False,NoSQLi,1,0,0,40.27,3300,0.007,93150,1895,11,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-009_dispatcher_mixed_default_20260627T104445Z
mistral-small-latest,web-009,C3_only,no_validated_findings,finished,18,17,0,2,False,NoSQLi,1,0,0,62.32,3800,0.008,207896,2466,18,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-009_dispatcher_mixed_default_20260627T104526Z
mistral-small-latest,web-009,all,no_validated_findings,finished,13,12,0,1,False,NoSQLi,1,0,0,101.47,3300,0.007,0,0,0,/root/DACN/outputs/runs_mistral_mistral-small-latest/web-009_dispatcher_mixed_default_20260627T104630Z
