model,config,delta
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,C2_only,-0.05
deepseek-v4-flash,C2_only,-0.05
gemini-3.1-flash-lite,C2_only,0.3
gemma-4-31b-it,C2_only,0.0
mistral-small-latest,C2_only,-0.3
mistralai/mistral-medium-3.5-128b,C2_only,-0.05
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,C3_only,0.0
deepseek-v4-flash,C3_only,0.05
gemini-3.1-flash-lite,C3_only,0.25
gemma-4-31b-it,C3_only,0.0
mistral-small-latest,C3_only,-0.05
mistralai/mistral-medium-3.5-128b,C3_only,0.05
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,C1_only,0.0
deepseek-v4-flash,C1_only,-0.15
gemini-3.1-flash-lite,C1_only,0.2
gemma-4-31b-it,C1_only,0.0
mistral-small-latest,C1_only,-0.05
mistralai/mistral-medium-3.5-128b,C1_only,0.05
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,all,-0.2
deepseek-v4-flash,all,0.05
gemini-3.1-flash-lite,all,0.0
gemma-4-31b-it,all,0.0
mistral-small-latest,all,-0.15
mistralai/mistral-medium-3.5-128b,all,-0.05
