expected_vuln,baseline,C2_only,C3_only,C1_only,all,Overall,n_runs
Auth Bypass,0.5,0.389,0.444,0.444,0.444,0.448,96.0
Command Injection,0.833,1.0,1.0,0.833,1.0,0.938,32.0
HTTP Request Smuggling,0.833,0.833,0.833,1.0,0.667,0.812,32.0
Insecure Temp File / Race Condition,0.0,0.0,0.0,0.0,0.0,0.0,32.0
LFI,0.667,0.611,0.889,0.667,0.667,0.719,96.0
Mass Assignment,1.0,1.0,1.0,1.0,1.0,1.0,32.0
NoSQLi,0.333,0.5,0.667,0.5,0.833,0.531,32.0
Path Traversal,0.5,0.417,0.417,0.583,0.167,0.453,64.0
SQLi,0.944,0.889,1.0,0.944,0.778,0.917,96.0
SSTI,0.417,0.417,0.417,0.25,0.333,0.375,64.0
Session Forgery,0.667,0.667,0.667,0.667,0.5,0.594,32.0
XSS,0.667,0.667,0.667,0.833,0.667,0.719,32.0
Overall,0.625,0.6,0.675,0.633,0.567,0.625,
